stop.id,stop.name,stop.lat,stop.lon
415,Pg. Vall d'Hebron-Patronat Ribes,41.422341,2.141293
1644,Arizala-Les Corts,41.378573,2.123687
2425,Comandant Benítez-Av Madrid,41.379161,2.127799
2305,Carles III-Maria Cristina,41.387544,2.126960
1957,Nicaragua-Parc Les Corts,41.386253,2.137775
2306,Carles III-Mejía Lequerica,41.384214,2.127233
2539,Gran Via Carles III-Av Madrid,41.379980,2.129228
2269,València-Comte d'Urgell,41.386020,2.154537
1296,Numància-Diagonal,41.389153,2.132859
1312,Entença-Montnegre,41.388533,2.139463
1757,Estació de França,41.384839,2.185399
2056,Riu Llobregat-Sant Cosme,41.316289,2.091030
2068,Riu Llobregat-Riu Xuquer,41.316597,2.087617
1737,Providència-Torrent de les Flors,41.407901,2.158928
2601,Aribau-Diagonal,41.395208,2.150395
2450,Gal·la Placídia,41.399203,2.152383
1382,Pg de Sant Joan-Sant Antoni Maria Claret,41.404456,2.163274
2616,Via Augusta-Diagonal,41.396070,2.155560
2254,Mallorca-Comte d'Urgell,41.386791,2.153119
1820,Balmes-Travessera de Gràcia,41.398281,2.151128
2459,Gran de Gràcia-Jesús,41.398356,2.157307
2596,Muntaner-Via Augusta,41.398566,2.143501
2597,Muntaner-Laforja,41.396893,2.145728
1740,Torrent de l'Olla-Astúries,41.403393,2.155744
1893,Lepant-Travessera de Gràcia,41.409501,2.169922
1892,Lepant-Guinardó,41.411698,2.167011
705,Av Tibidabo-Carrer número 15,41.415414,2.129421
434,Paral·lel-Ronda Sant Pau,41.375061,2.167171
2213,Cantunis,41.352088,2.158292
2116,Pg de Fabra i Puig-Torrent Can Mariner,41.432114,2.163084
2588,Fabra i Puig-Petrarca,41.430524,2.168028
2571,Fabra i Puig-Petrarca,41.430349,2.168059
2244,Guipúscoa-Selva de Mar,41.417419,2.198229
1134,Dante Alighieri-Sacedón,41.426092,2.154499
1041,Pare Pérez del Pulgar-Pare Manjon,41.454353,2.190832
714,Tamarit-Viladomat,41.378339,2.160450
1135,Dante Alighieri-Tolrà,41.426862,2.155401
1016,Av de Cornellà-St Francesc Xavier,41.373696,2.084743
1792,Verge de Montserrat-Periodistes,41.421689,2.174279
1959,Av. Pedralbes-Tòquio,41.390079,2.119079
1825,Josep Tarradellas-Numància,41.381164,2.142089
1109,Pg. Santa Coloma-Baró de Viver,41.448568,2.199742
2637,Pg. Santa Coloma-Nus de la Trinitat,41.446408,2.193568
2492,Pg Torras i Bages-Almirall Pròixida,41.441380,2.190771
2141,Costa Pacheco 26,41.428102,2.131249
1611,Diagonal-Balmes,41.395446,2.154913
1537,Calvet-Tenor Viñas,41.396011,2.141827
1846,Pg Vall d'Hebron-Ctra d'Horta,41.437974,2.153169
664,Ctra d'Horta-Av Estatut de Catalunya,41.437428,2.153491
673,Pl de l'Estatut,41.430787,2.155194
912,Av Meridiana-Mallorca,41.412883,2.187051
1690,Av Granvia-Can Tries,41.354971,2.122077
1058,Sant Adrià-Sas,41.436122,2.203700
1059,Ciutat d'Asunción-Sant Adrià,41.436467,2.200978
1850,Via Júlia-Turó Blau,41.439283,2.175525
